field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
전남목포 신안비치2차아파트,2,AC완속,전라남도 목포시 고하대로 641-10지상주차장 화단,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",정,전라남도 목포시 고하대로 641-10 (산정동),126.36897165249515,34.80661305593031
한국농어촌공사영산강사업단,2,AC완속,전라남도 목포시 영산로 463(상동)(상동 509),24시간 이용가능,정,전라남도 목포시 영산로 463 (상동),126.41501522848978,34.80862295007461
목포가족관광호텔,2,AC완속,전라남도 목포시 호남로64번길 28(대안동)목포가족관광호텔(대안동 12-1),24시간 이용가능,정,전라남도 목포시 호남로64번길 28 (대안동),126.38464683777947,34.79202103806732
서희스타힐스,2,AC완속,전라남도 목포시 영산로 719-29(목포석현 서희스타힐스),00:00~24:00,정,전라남도 목포시 영산로 719-29 (석현동),126.41839315397442,34.826167032382834
하당현대2차,4,AC완속,전라남도 목포시 삼향천로91번길 21(992 하당2차현대아파트),00:00~24:00,정,전라남도 목포시 삼향천로91번길 21 (옥암동),126.42991398467933,34.80694964927182
케이티하당빌딩,22,AC완속,"전라남도 목포시 통일대로119번길 81 (옥암동, 전화국)주차장",비개방,정,전라남도 목포시 통일대로119번길 81 (옥암동),126.4322986800619,34.80836465298039
트윈스타,2,AC완속,전라남도 목포시 수문로 32지하주차장 B4 102동 출입구 옆,09:00~18:00,정,전라남도 목포시 수문로 32 (남교동),126.38293424906918,34.79313247433667
목포석현동센트럴카운티 2차(입주민 전용),2,AC완속,전라남도 목포시 청호로136번길 22(1837 라송센트럴카운티2차아파트),24시간 이용가능,정,전라남도 목포시 청호로136번길 22 (산정동),126.37779510053014,34.80511404926092
에코호텔,1,AC완속,전라남도 목포시 비파로124번길 11,24시간 이용가능,정,전라남도 목포시 비파로124번길 11 (상동),126.42393012315763,34.809632687750856
H모텔,1,AC완속,전라남도 목포시 비파로124번길 16-1(상동)(상동 855-6),24시간 이용가능,정,전라남도 목포시 비파로124번길 16-1 (상동),126.42457364615973,34.809378682748445
전남목포 산정로제비앙2,2,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 신안인스빌아파트101동,3,AC완속,전라남도 목포시 삼학로 363101동B2-A02기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
서희스타힐스,4,AC완속,전라남도 목포시 영산로 719-29(목포석현 서희스타힐스),00:00~24:00,정,전라남도 목포시 영산로 719-29 (석현동),126.41839315397442,34.826167032382834
하당현대2차,3,AC완속,전라남도 목포시 삼향천로91번길 21(992 하당2차현대아파트),00:00~24:00,정,전라남도 목포시 삼향천로91번길 21 (옥암동),126.42991398467933,34.80694964927182
전남목포 근화희망타운1차아파트2,1,AC완속,전라남도 목포시 산양로 40(75-1 근화희망타운아파트),24시간 이용가능,정,전라남도 목포시 산양로 40 (대양동),126.42735274610395,34.83640867791513
롯데렌터카 목포사업장(입주사 전용),1,DC콤보,전라남도 목포시 백년대로 272(상동 902-1),24시간 이용가능,정,전라남도 목포시 백년대로 272 (상동),126.41810988642756,34.802410626513485
목포석현동센트럴카운티 5차(입주민 전용),2,AC완속,전라남도 목포시 영산로 648-24(라송센트럴카운티5차 아파트),24시간 이용가능,정,전라남도 목포시 영산로 648-24 (석현동),126.42654329138014,34.82025183572888
목포석현동센트럴카운티 2차(입주민 전용),3,AC완속,전라남도 목포시 청호로136번길 22(1837 라송센트럴카운티2차아파트),24시간 이용가능,정,전라남도 목포시 청호로136번길 22 (산정동),126.37779510053014,34.80511404926092
M모텔,2,AC완속,전라남도 목포시 호남로64번길 13(대안동)(대안동 4-2),24시간 이용가능,정,전라남도 목포시 호남로64번길 13 (대안동),126.38537070401829,34.79305652658571
전남목포 삼성아파트 2주차장,1,AC완속,전라남도 목포시 부흥로 12(1018 삼성아파트),24시간 이용가능,정,전라남도 목포시 부흥로 12 (상동),126.42303375468055,34.7993794459127
목포소방서,1,AC완속,전라남도 목포시 삼향천로 110(옥암동)(974 목포소방서),24시간 이용가능,정,전라남도 목포시 삼향천로 110 (옥암동),126.43025129877573,34.809949022216955
전남목포 연산주공5단지아파트2,1,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 근화희망타운1차아파트,3,AC완속,전라남도 목포시 산양로 40103동앞(75-1 근화희망타운아파트 103동앞),24시간 이용가능,유,전라남도 목포시 산양로 66 (대양동),126.42954589067335,34.837221506227614
하당현대2차,5,AC완속,전라남도 목포시 삼향천로91번길 21(992 하당2차현대아파트),00:00~24:00,정,전라남도 목포시 삼향천로91번길 21 (옥암동),126.42991398467933,34.80694964927182
전남목포 산정로제비앙3,4,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
목포석현동센트럴카운티 3차(입주민 전용),4,AC완속,전라남도 목포시 석현로45번길 22-10(1179 목포석현동라송센트럴카운티3차아파트),24시간 이용가능,정,전라남도 목포시 석현로45번길 22-10 (석현동),126.42667893509474,34.81800505567837
에코호텔,2,AC완속,전라남도 목포시 비파로124번길 11,24시간 이용가능,정,전라남도 목포시 비파로124번길 11 (상동),126.42393012315763,34.809632687750856
목포석현동센트럴카운티 5차(입주민 전용),3,AC완속,전라남도 목포시 영산로 648-24(라송센트럴카운티5차 아파트),24시간 이용가능,정,전라남도 목포시 영산로 648-24 (석현동),126.42654329138014,34.82025183572888
서희스타힐스,5,AC완속,전라남도 목포시 영산로 719-29(목포석현 서희스타힐스),00:00~24:00,정,전라남도 목포시 영산로 719-29 (석현동),126.41839315397442,34.826167032382834
전남목포 신안인스빌,4,AC완속,전라남도 목포시 삼학로 363(126 신안인스빌아파트),24시간 이용가능,정,전라남도 목포시 삼학로 363 (용해동),126.40693889551986,34.80381034920304
빅토리아모텔,2,AC완속,전라남도 목포시 하당남부로61번길 22(상동)(상동 1009-4),24시간 이용가능,정,전라남도 목포시 하당남부로61번길 22 (상동),126.42967031643128,34.80208634479725
전남목포 산정로제비앙3,3,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 용해동아아파트7동,2,AC완속,전라남도 목포시 삼학로 303-37동 B1,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 303-3 (용해동),126.40700140420867,34.79704623612629
전남목포 신안비치2차아파트,4,AC완속,전라남도 목포시 고하대로 641-10지상주차장 화단,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",정,전라남도 목포시 고하대로 641-10 (산정동),126.36897165249515,34.80661305593031
현대 목포지점(현대차 전용),1,DC콤보,전라남도 목포시 남악로 123(옥암동 1363-5),24시간 이용가능,정,전라남도 목포시 남악로 123 (옥암동),126.4520287311307,34.80563985502527
스카이모텔,1,AC완속,전라남도 목포시 신흥로59번길 15,24시간 이용가능,정,전라남도 목포시 신흥로59번길 15 (상동),126.42596126973595,34.80514565478246
대양파크모텔,1,AC완속,전라남도 목포시 삼학로18번길 17대양파크모텔,24시간 이용가능,정,전라남도 목포시 삼학로18번길 17 (호남동),126.38918185530669,34.78965763927817
석현현대,2,AC완속,전라남도 목포시 영산로 676-7석현현대(532-2 현대아파트),08:00~20:00,정,전라남도 목포시 영산로 676-7 (석현동),126.4248331244158,34.82533863664472
하당현대2차,6,AC완속,전라남도 목포시 삼향천로91번길 21(992 하당2차현대아파트),00:00~24:00,정,전라남도 목포시 삼향천로91번길 21 (옥암동),126.42991398467933,34.80694964927182
전남목포 신안인스빌아파트107동,5,AC완속,전라남도 목포시 삼학로 363107동B1-A13기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
전남목포 산정로제비앙1,1,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 신안비치2차아파트,3,AC완속,전라남도 목포시 고하대로 641-10지상주차장 화단,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",정,전라남도 목포시 고하대로 641-10 (산정동),126.36897165249515,34.80661305593031
전남목포 우미오션빌601동,3,AC완속,전라남도 목포시 평화로107번길 16601동 B1,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 평화로107번길 27 (상동),126.43411759552005,34.80040399884976
H모텔,2,AC완속,전라남도 목포시 비파로124번길 16-1(상동)(상동 855-6),24시간 이용가능,정,전라남도 목포시 비파로124번길 16-1 (상동),126.42457364615973,34.809378682748445
삼학119안전센타,1,AC완속,전라남도 목포시 삼학로 218(산정동)(1422-3 삼학119안전센터),24시간 이용가능,정,전라남도 목포시 삼학로 218 (산정동),126.40676093387512,34.79017209011387
대양파크모텔,2,AC완속,전라남도 목포시 삼학로18번길 17대양파크모텔,24시간 이용가능,정,전라남도 목포시 삼학로18번길 17 (호남동),126.38918185530669,34.78965763927817
전기안전공사 전남서부지사,1,AC완속,전라남도 목포시 호남로 72B1층 기계실 입구 벽면,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",정,전라남도 목포시 호남로 72 (호남동),126.386397325461,34.79388378022768
전남목포 신안인스빌아파트107동,1,AC완속,전라남도 목포시 삼학로 363107동B1-A13기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
전남목포 옥암펠리시아아파트1,2,AC완속,전라남도 목포시 하당로289번길 7(1058-13 옥암펠리시아),24시간 이용가능,정,전라남도 목포시 하당로289번길 7 (옥암동),126.42664791731664,34.811924510223854
전남목포 산정로제비앙1,2,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 종원나이스빌106동,2,AC완속,전라남도 목포시 양을로 1215주차장 1층 106동 기둥08,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 양을로 534 (상동),126.42368627977436,34.81056921792472
전남목포 신안인스빌아파트101동,4,AC완속,전라남도 목포시 삼학로 363101동B2-A02기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
석현현대,3,AC완속,전라남도 목포시 영산로 676-7석현현대(532-2 현대아파트),08:00~20:00,정,전라남도 목포시 영산로 676-7 (석현동),126.4248331244158,34.82533863664472
목포소방서,2,AC완속,전라남도 목포시 삼향천로 110(옥암동)(974 목포소방서),24시간 이용가능,정,전라남도 목포시 삼향천로 110 (옥암동),126.43025129877573,34.809949022216955
삼학119안전센타,2,AC완속,전라남도 목포시 삼학로 218(산정동)(1422-3 삼학119안전센터),24시간 이용가능,정,전라남도 목포시 삼학로 218 (산정동),126.40676093387512,34.79017209011387
전남목포 산정로제비앙3,5,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 연산주공5단지아파트2,3,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 우미오션빌,4,AC완속,전라남도 목포시 평화로107번길 16(1097 우미오션빌),24시간 이용가능,정,전라남도 목포시 평화로107번길 16 (옥암동),126.43585410201099,34.79928753867875
전남목포 삼성아파트 1주차장,1,AC완속,전라남도 목포시 부흥로 12(1018 삼성아파트),24시간 이용가능,정,전라남도 목포시 부흥로 12 (상동),126.42303375468055,34.7993794459127
전남목포 하당동아아파트 101동,1,AC완속,전라남도 목포시 신흥로45번길 13101동 2호앞 지상주차장,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 신흥로45번길 24 (상동),126.42465668375095,34.805174710185334
전기안전공사 전남서부지사,2,AC완속,전라남도 목포시 호남로 72B1층 기계실 입구 벽면,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",정,전라남도 목포시 호남로 72 (호남동),126.386397325461,34.79388378022768
서희스타힐스,6,AC완속,전라남도 목포시 영산로 719-29(목포석현 서희스타힐스),00:00~24:00,정,전라남도 목포시 영산로 719-29 (석현동),126.41839315397442,34.826167032382834
하당현대2차,1,AC완속,전라남도 목포시 삼향천로91번길 21(992 하당2차현대아파트),00:00~24:00,정,전라남도 목포시 삼향천로91번길 21 (옥암동),126.42991398467933,34.80694964927182
전남목포 산정로제비앙2,3,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 연산주공5단지아파트2,2,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 신안인스빌,1,AC완속,전라남도 목포시 삼학로 363(126 신안인스빌아파트),24시간 이용가능,정,전라남도 목포시 삼학로 363 (용해동),126.40693889551986,34.80381034920304
전남목포 용해동아아파트8동,2,AC완속,전라남도 목포시 삼학로 303-38동 B1,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 303-3 (용해동),126.40700140420867,34.79704623612629
전남목포 종원나이스빌102동,1,AC완속,전라남도 목포시 양을로 1213주차장 102동 기둥10,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 양을로 534 (상동),126.42368627977436,34.81056921792472
한국농어촌공사영산강사업단,1,AC완속,전라남도 목포시 영산로 463(상동)(상동 509),24시간 이용가능,정,전라남도 목포시 영산로 463 (상동),126.41501522848978,34.80862295007461
전남목포 한라비발디,5,AC완속,전라남도 목포시 남악2로22번길 10옥외지상주차장,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",정,전라남도 목포시 남악2로22번길 10 (옥암동),126.45385935308407,34.80711819708108
전남목포 근화희망타운1차아파트,1,AC완속,전라남도 목포시 산양로 40103동앞(75-1 근화희망타운아파트 103동앞),24시간 이용가능,유,전라남도 목포시 산양로 66 (대양동),126.42954589067335,34.837221506227614
전남목포 산정로제비앙2,4,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 삼성아파트 2주차장,2,AC완속,전라남도 목포시 부흥로 12(1018 삼성아파트),24시간 이용가능,정,전라남도 목포시 부흥로 12 (상동),126.42303375468055,34.7993794459127
전남목포 신안인스빌,2,AC완속,전라남도 목포시 삼학로 363(126 신안인스빌아파트),24시간 이용가능,정,전라남도 목포시 삼학로 363 (용해동),126.40693889551986,34.80381034920304
전남목포 용해동아아파트8동,1,AC완속,전라남도 목포시 삼학로 303-38동 B1,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 303-3 (용해동),126.40700140420867,34.79704623612629
전남목포 신안인스빌아파트107동,2,AC완속,전라남도 목포시 삼학로 363107동B1-A13기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
전남목포 우미오션빌605동,2,AC완속,전라남도 목포시 평화로107번길 16605동 B1,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 평화로107번길 27 (상동),126.43411759552005,34.80040399884976
전남목포 코아루천년가아파트,5,AC완속,전라남도 목포시 남악1로16번길 43-14(코아루 천년가아파트),24시간 이용가능,정,전라남도 목포시 남악1로16번길 43-14 (옥암동),126.45237894739371,34.80764829583275
전남목포 한라비발디3,5,AC완속,전라남도 목포시 남악2로22번길 10(1321 한라비발디),24시간 이용가능,정,전라남도 목포시 남악2로22번길 10 (옥암동),126.45385935308407,34.80711819708108
전남목포 산정로제비앙2,1,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 신안인스빌,5,AC완속,전라남도 목포시 삼학로 363(126 신안인스빌아파트),24시간 이용가능,정,전라남도 목포시 삼학로 363 (용해동),126.40693889551986,34.80381034920304
전남목포 삼성아파트 2주차장,3,AC완속,전라남도 목포시 부흥로 12(1018 삼성아파트),24시간 이용가능,정,전라남도 목포시 부흥로 12 (상동),126.42303375468055,34.7993794459127
전남목포 신안인스빌아파트107동,3,AC완속,전라남도 목포시 삼학로 363107동B1-A13기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
전남목포 연산주공5단지아파트3,1,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 우미오션빌605동,1,AC완속,전라남도 목포시 평화로107번길 16605동 B1,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 평화로107번길 27 (상동),126.43411759552005,34.80040399884976
전남목포 코아루천년가아파트,1,AC완속,전라남도 목포시 남악1로16번길 43-14(코아루 천년가아파트),24시간 이용가능,정,전라남도 목포시 남악1로16번길 43-14 (옥암동),126.45237894739371,34.80764829583275
목포해양대학교 신축건물,3,AC완속,전라남도 목포시 해양대학로 91목포해양대학교 신축건물(562-84 해양대학교),24시간 이용가능,정,전라남도 목포시 해양대학로 91 (죽교동),126.36161751385048,34.798343414894
전남목포 한라비발디,1,AC완속,전라남도 목포시 남악2로22번길 10옥외지상주차장,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",정,전라남도 목포시 남악2로22번길 10 (옥암동),126.45385935308407,34.80711819708108
전남목포 산정로제비앙3,1,AC완속,전라남도 목포시 양을로79번길 6(목포산정 대광로제비앙),24시간 이용가능,정,전라남도 목포시 양을로79번길 6 (산정동),126.38259744643231,34.80594183203339
전남목포 삼성아파트 1주차장,2,AC완속,전라남도 목포시 부흥로 12(1018 삼성아파트),24시간 이용가능,정,전라남도 목포시 부흥로 12 (상동),126.42303375468055,34.7993794459127
전남목포 신안인스빌아파트101동,1,AC완속,전라남도 목포시 삼학로 363101동B2-A02기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
전남목포 연산주공5단지아파트1,1,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 종원나이스빌106동,3,AC완속,전라남도 목포시 양을로 1215주차장 1층 106동 기둥08,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 양을로 534 (상동),126.42368627977436,34.81056921792472
전남목포 우미오션빌,1,AC완속,전라남도 목포시 평화로107번길 16(1097 우미오션빌),24시간 이용가능,정,전라남도 목포시 평화로107번길 16 (옥암동),126.43585410201099,34.79928753867875
전남목포 하당동아아파트 101동,3,AC완속,전라남도 목포시 신흥로45번길 13101동 2호앞 지상주차장,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 신흥로45번길 24 (상동),126.42465668375095,34.805174710185334
용해지구 목포어울림도서관,2,DC차데모+AC3상+DC콤보,전라남도 목포시 용해지구로 31목포어울림도서관(용해동 997-1),09:00~1800,정,전라남도 목포시 용해지구로 31 (용해동),126.39592426427706,34.81685158159097
전남목포 한라비발디3,1,AC완속,전라남도 목포시 남악2로22번길 10(1321 한라비발디),24시간 이용가능,정,전라남도 목포시 남악2로22번길 10 (옥암동),126.45385935308407,34.80711819708108
전남목포 신안비치2차아파트,1,AC완속,전라남도 목포시 고하대로 641-10지상주차장 화단,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",정,전라남도 목포시 고하대로 641-10 (산정동),126.36897165249515,34.80661305593031
전남목포 신안인스빌,3,AC완속,전라남도 목포시 삼학로 363(126 신안인스빌아파트),24시간 이용가능,정,전라남도 목포시 삼학로 363 (용해동),126.40693889551986,34.80381034920304
전남목포 연산주공5단지아파트3,2,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 옥암펠리시아아파트2,1,AC완속,전라남도 목포시 하당로289번길 7(1058-13 옥암펠리시아),24시간 이용가능,정,전라남도 목포시 하당로289번길 7 (옥암동),126.42664791731664,34.811924510223854
전남목포 우미오션빌605동,3,AC완속,전라남도 목포시 평화로107번길 16605동 B1,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 평화로107번길 27 (상동),126.43411759552005,34.80040399884976
전남목포 하당동아아파트 101동,2,AC완속,전라남도 목포시 신흥로45번길 13101동 2호앞 지상주차장,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 신흥로45번길 24 (상동),126.42465668375095,34.805174710185334
전남목포 한라비발디2,2,AC완속,전라남도 목포시 남악2로22번길 10(1321 한라비발디),24시간 이용가능,정,전라남도 목포시 남악2로22번길 10 (옥암동),126.45385935308407,34.80711819708108
목포 광신프로그레스,3,AC완속,전라남도 목포시 영산로565번길 231~5구역 주차장,24시간 이용가능,유,전라남도 목포시 영산로565번길 23 (상동),126.41796440954118,34.81563119578358
목포세무서,1,DC콤보,전라남도 목포시 호남로58번길 19목포세무서(대안동 3-2),09:00~18:00,정,전라남도 목포시 호남로58번길 19 (대안동),126.38483740875155,34.793080496002325
전남목포 신안인스빌아파트101동,2,AC완속,전라남도 목포시 삼학로 363101동B2-A02기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
전남목포 신안인스빌아파트107동,4,AC완속,전라남도 목포시 삼학로 363107동B1-A13기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",유,전라남도 목포시 삼학로 390 (용해동),126.40958070847293,34.80549591331697
전남목포 연산주공5단지아파트1,2,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 우미오션빌,2,AC완속,전라남도 목포시 평화로107번길 16(1097 우미오션빌),24시간 이용가능,정,전라남도 목포시 평화로107번길 16 (옥암동),126.43585410201099,34.79928753867875
전남목포 코아루천년가아파트,2,AC완속,전라남도 목포시 남악1로16번길 43-14(코아루 천년가아파트),24시간 이용가능,정,전라남도 목포시 남악1로16번길 43-14 (옥암동),126.45237894739371,34.80764829583275
전남목포 한라비발디2,1,AC완속,전라남도 목포시 남악2로22번길 10(1321 한라비발디),24시간 이용가능,정,전라남도 목포시 남악2로22번길 10 (옥암동),126.45385935308407,34.80711819708108
목포해양대학교 해양공학관A9동,3,AC완속,전라남도 목포시 해양대학로 91목포해양대학교 해양공학관A9동(562-84 해양대학교),24시간 이용가능,정,전라남도 목포시 해양대학로 91 (죽교동),126.36161751385048,34.798343414894
목포 새한의료재단 목포성심요양병원,1,AC완속,전라남도 목포시 영산로844번길 133동 주차장,24시간 이용가능,유,전라남도 목포시 영산로844번길 16 (대양동),126.424075117921,34.83720840376284
전남목포 옥암펠리시아아파트1,1,AC완속,전라남도 목포시 하당로289번길 7(1058-13 옥암펠리시아),24시간 이용가능,정,전라남도 목포시 하당로289번길 7 (옥암동),126.42664791731664,34.811924510223854
전남목포 연산주공5단지아파트1,3,AC완속,전라남도 목포시 원산중앙로 109-1(1261 연산주공5단지아파트),24시간 이용가능,정,전라남도 목포시 원산중앙로 109-1 (연산동),126.38244661326634,34.81359147481963
전남목포 우미오션빌,5,AC완속,전라남도 목포시 평화로107번길 16(1097 우미오션빌),24시간 이용가능,정,전라남도 목포시 평화로107번길 16 (옥암동),126.43585410201099,34.79928753867875
